Time_s,Temperature_C,Humidity_%,Pressure_hPa,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s
19.401,23.07,35.50,1005.99,0.9812,-0.1685,-0.9080,5.1069,250.1298,49.8473
19.501,23.07,35.50,1005.99,1.0732,-0.2495,-0.0346,-6.8168,250.1298,-77.6718
19.601,23.07,35.49,1005.95,0.5767,0.2114,0.3687,-19.5267,250.1298,-66.4962
19.701,23.08,35.46,1006.00,-0.3347,0.3115,0.6941,-42.4427,195.3130,-16.3282
19.801,23.08,35.47,1006.02,-0.4170,0.0610,0.9919,-35.1374,22.6107,4.4809
19.901,23.07,35.46,1005.96,-0.1599,-0.0546,0.9231,-33.5191,-40.9389,7.1069
20.001,23.08,35.46,1005.98,-0.1104,-0.0734,0.8311,1.9313,-6.1069,6.0992
20.101,23.08,35.50,1005.98,-0.1667,-0.0712,0.9839,10.6107,-35.7176,13.3130
20.201,23.08,35.56,1006.00,-0.0852,-0.0551,1.0452,-4.3130,-76.8244,6.6031
20.301,23.08,35.55,1005.97,-0.1045,-0.1018,0.7456,0.0916,-211.1756,-60.0687
20.401,23.08,35.58,1005.96,0.1033,-0.0556,0.0671,85.6947,-250.1374,-79.5878
20.501,23.08,35.61,1005.98,0.9805,-0.7480,-1.1296,149.9084,-250.1374,250.1298
20.601,23.08,35.63,1005.98,1.4314,-0.3630,-1.7798,80.4733,88.7328,7.3511
20.701,23.08,35.66,1005.97,0.8271,-0.6494,-0.5269,-12.7099,250.1298,-138.4046
20.801,23.08,35.66,1005.97,0.6499,-0.5405,0.0244,129.8473,250.1298,-89.3664
20.901,23.08,35.64,1005.96,-0.5791,0.1326,0.4829,149.5878,250.1298,-95.9313
21.001,23.08,35.62,1005.98,-0.9473,0.2761,0.6726,-99.0840,-250.1374,30.8473
21.101,23.08,35.61,1005.98,0.2209,-0.3975,-0.9746,-250.1374,-250.1374,148.6870
21.201,23.08,35.58,1005.97,1.8257,-0.6633,-1.0474,-3.2137,-166.0534,78.4504
21.301,23.08,35.56,1005.96,1.8960,-0.5649,-0.9053,36.4809,250.1298,-42.6412
21.401,23.08,35.55,1005.98,1.3159,-0.8374,-1.5557,126.9008,250.1298,-68.5191
21.501,23.08,35.53,1005.99,-0.9949,0.4043,0.2354,114.4275,250.1298,-43.3511
21.601,23.08,35.50,1005.97,-0.8953,0.2117,0.6848,-104.3893,-250.1374,35.7328
21.701,23.09,35.49,1005.96,0.1599,-0.3225,-1.6316,-156.8702,-250.1374,77.0229
21.801,23.10,35.48,1005.97,1.9192,-0.7078,-1.5544,81.6565,133.5267,38.9160
21.901,23.09,35.47,1005.99,1.9999,-0.7820,-1.5908,91.8550,250.1298,-153.1832
22.001,23.10,35.47,1005.98,-0.9973,0.0668,-0.6350,232.0840,250.1298,-158.8092
22.101,23.10,35.48,1005.98,-0.3662,-0.5100,0.7795,-250.1374,-250.1374,83.6412
22.201,23.10,35.49,1005.97,0.4453,-0.6492,-1.5701,-58.5496,-250.1374,8.6489
22.301,23.10,35.49,1005.97,1.5715,-0.6138,-0.9875,71.3435,250.1298,46.3053
22.401,23.10,35.50,1005.98,0.1038,-0.1958,0.3157,245.4427,250.1298,-89.9771
22.501,23.10,35.50,1005.97,-0.8044,0.1990,0.6733,-84.0763,-250.1374,25.5267
22.601,23.11,35.51,1006.01,0.2205,-0.3765,-2.0000,-82.7328,-250.1374,57.1450
22.701,23.11,35.51,1005.97,1.0769,-0.7209,-0.9685,94.3740,250.1298,-9.4122
22.801,23.11,35.51,1005.97,0.1189,-0.6663,-0.5063,250.1298,250.1298,-85.7328
22.901,23.11,35.51,1006.00,-0.5566,0.1919,0.0517,-190.2977,-250.1374,70.8092
23.001,23.11,35.50,1006.00,1.5276,-0.8218,-1.4397,-8.3893,-250.1374,100.7023
23.101,23.11,35.50,1005.99,1.9253,-0.5474,-1.1936,23.3206,250.1298,-25.5038
23.201,23.11,35.48,1005.99,-0.0234,0.0969,-0.3293,20.0458,-250.1374,-50.3893
23.301,23.11,35.48,1005.99,1.0710,-0.3220,0.0144,-107.1221,-166.2061,-206.3817
23.401,23.11,35.45,1005.98,1.4607,-0.4739,-0.7654,33.7557,-158.0458,-87.0534
23.501,23.11,35.45,1005.98,0.8533,-0.0383,-0.6443,13.7939,139.8626,-7.6641
23.601,23.12,35.44,1005.98,0.6628,-0.0590,-0.4102,-29.0992,-37.7863,-25.8779
23.701,23.11,35.40,1005.96,1.0220,-0.1194,-0.5437,-40.2824,-53.7786,0.9847
23.801,23.12,35.36,1005.97,0.9678,-0.1379,-0.5432,-22.9466,7.4046,7.1221
23.901,23.12,35.35,1005.97,0.8977,-0.0927,-0.4827,-3.9771,12.5191,5.5191
24.001,23.12,35.31,1005.97,0.9392,-0.1042,-0.5569,-7.7099,-52.3282,-4.0458
24.101,23.11,35.29,1005.99,0.8901,-0.1335,-0.6001,33.0382,-6.5038,15.2824
24.201,23.11,35.25,1005.95,0.8813,0.2383,-0.7874,77.6489,-42.6641,56.1450
24.301,23.10,35.22,1005.94,1.3203,-0.0114,-0.6660,-182.2672,30.8626,-1.3969
24.401,23.10,35.18,1005.95,0.4548,-0.5662,-0.5430,44.2061,122.6412,71.2901
24.501,23.11,35.14,1005.95,0.9316,-0.0058,-0.6924,-20.5725,149.7176,27.1450
24.601,23.11,35.11,1005.96,0.2075,0.0610,-0.3567,-250.1374,-95.4427,38.9542
24.701,23.10,35.07,1005.97,1.0330,-0.7329,-1.0815,38.5954,-173.1756,-25.1450
24.801,23.10,35.04,1005.96,1.0461,0.1885,-0.8127,-44.7099,32.5267,-89.2901
24.901,23.10,35.02,1005.99,0.7483,-0.0212,-0.3796,109.6336,-38.5878,-124.6183
