Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel
7.041,28.78,41.29,999.92,0.000000,0.000000,0.00,0,0,0.8306,-0.5447,-0.1575,16.9618,14.6489,12.8321,1.006
7.047,28.79,41.26,999.96,0.000000,0.000000,0.00,0,0,0.8535,-0.4216,-0.0114,15.4809,14.9618,12.8473,0.952
7.053,28.79,41.26,999.96,0.000000,0.000000,0.00,0,0,0.8491,-0.4570,-0.1025,13.5344,15.9084,10.5267,0.970
7.059,28.79,41.26,999.96,0.000000,0.000000,0.00,0,0,0.8823,-0.3770,-0.0283,12.1679,16.0458,11.2748,0.960
7.065,28.79,41.26,999.96,0.000000,0.000000,0.00,0,0,0.8801,-0.3955,-0.0830,10.9313,17.4580,9.1221,0.968
7.140,28.79,41.26,999.96,0.000000,0.000000,0.00,0,0,0.8254,-0.3535,0.0300,-8.5725,24.7710,0.7023,0.898
7.146,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.8320,-0.3608,0.0361,-11.2443,25.1603,0.3282,0.908
7.152,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.8413,-0.3540,0.0610,-13.6870,25.7557,-0.1603,0.915
7.158,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.8518,-0.3645,0.0397,-16.6489,26.4504,-1.0840,0.927
7.164,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.8777,-0.3462,0.0534,-19.6947,27.0840,-1.2214,0.945
7.170,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.8848,-0.3608,0.0354,-22.2672,27.7176,-2.8168,0.956
7.176,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,0.9106,-0.3284,0.0683,-24.7786,26.4046,-3.7557,0.970
7.182,28.77,41.27,999.92,0.000000,0.000000,0.00,0,0,1.0828,-0.5493,-0.1909,-27.3740,24.8702,-4.9924,1.229
7.188,28.77,41.27,999.90,0.000000,0.000000,0.00,0,0,0.8525,-0.3828,-0.0485,-7.9160,9.6718,-9.5115,0.936
7.263,28.76,41.29,999.89,0.000000,0.000000,0.00,0,0,0.8564,-0.3909,-0.0644,-5.2901,8.0229,-9.3969,0.944
7.502,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9634,-0.2847,-0.1304,-20.3130,-8.2519,-19.9771,1.013
7.508,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9553,-0.2886,-0.1262,-18.7634,-9.0153,-19.2443,1.006
7.514,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9526,-0.2695,-0.1282,-16.3664,-10.1450,-18.4122,0.998
7.520,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9436,-0.2603,-0.1411,-14.0229,-11.2595,-17.5267,0.989
7.526,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9397,-0.2578,-0.1250,-11.5878,-11.8855,-16.2748,0.982
7.532,28.79,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9456,-0.2566,-0.1299,-9.2672,-12.9160,-15.3588,0.988
7.538,28.79,41.22,999.94,0.000000,0.000000,0.00,0,0,0.9412,-0.2495,-0.1355,-7.0763,-13.4046,-14.0840,0.983
7.544,28.79,41.22,999.94,0.000000,0.000000,0.00,0,0,0.9382,-0.2480,-0.1340,-5.1985,-14.0305,-13.6489,0.980
7.550,28.79,41.22,999.94,0.000000,0.000000,0.00,0,0,0.9465,-0.2493,-0.1228,-3.4656,-14.6489,-12.5725,0.986
7.556,28.79,41.22,999.94,0.000000,0.000000,0.00,0,0,0.9536,-0.2522,-0.1187,-2.9160,-14.7710,-11.8779,0.994
7.704,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,1.0251,-0.2620,-0.1211,-12.3282,-3.1832,-7.2824,1.065
7.710,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,1.0222,-0.2593,-0.1216,-14.7023,-2.3817,-7.2901,1.062
7.715,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,1.0112,-0.2649,-0.1353,-16.4046,-1.2977,-7.3664,1.054
7.722,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,0.9990,-0.2769,-0.1282,-17.4046,-0.7099,-7.0840,1.045
7.728,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,0.9912,-0.2764,-0.1394,-17.5420,-0.1069,-7.1908,1.038
7.733,28.80,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9773,-0.2852,-0.1465,-17.4198,0.7710,-7.0229,1.029
7.739,28.80,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9771,-0.2896,-0.1379,-17.1145,1.2595,-6.7557,1.028
7.745,28.80,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9719,-0.2942,-0.1316,-16.3435,1.9237,-6.0763,1.024
7.751,28.80,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9734,-0.2893,-0.1411,-15.3206,2.5115,-5.8015,1.025
7.757,28.80,41.29,999.94,0.000000,0.000000,0.00,0,0,0.9758,-0.2856,-0.1445,-14.0611,2.7328,-5.2824,1.027
7.904,28.76,41.30,999.88,0.000000,0.000000,0.00,0,0,0.9988,-0.2661,-0.1274,4.0000,0.3893,-1.0229,1.041
7.910,28.76,41.30,999.88,0.000000,0.000000,0.00,0,0,1.0024,-0.2739,-0.1318,3.3817,1.1221,-0.5649,1.048
7.916,28.76,41.30,999.88,0.000000,0.000000,0.00,0,0,1.0178,-0.2803,-0.1230,3.5496,1.4656,-0.0305,1.063
7.922,28.76,41.30,999.88,0.000000,0.000000,0.00,0,0,1.0159,-0.2834,-0.1235,4.0000,2.2061,0.6336,1.062
7.927,28.80,41.32,999.91,0.000000,0.000000,0.00,0,0,1.0264,-0.2769,-0.1240,4.6031,2.9618,1.4504,1.070
7.933,28.80,41.32,999.91,0.000000,0.000000,0.00,0,0,1.0178,-0.2842,-0.1255,4.9466,3.6260,2.1985,1.064
7.939,28.80,41.32,999.91,0.000000,0.000000,0.00,0,0,1.0190,-0.2703,-0.1377,5.2137,4.8855,3.0916,1.063
7.945,28.80,41.32,999.91,0.000000,0.000000,0.00,0,0,1.0063,-0.2747,-0.1331,5.4580,5.9695,3.8092,1.052
7.951,28.80,41.32,999.91,0.000000,0.000000,0.00,0,0,0.9902,-0.2739,-0.0725,7.1832,9.7557,6.2214,1.030
8.026,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,0.9841,-0.2805,-0.0703,6.4962,9.2595,5.6718,1.026
8.067,28.77,41.30,999.90,0.000000,0.000000,0.00,0,0,1.0164,-0.2710,-0.0483,3.4046,3.1679,-2.1450,1.053
8.141,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0264,-0.2603,-0.0366,1.4351,2.9008,-2.4504,1.059
8.147,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0208,-0.2505,-0.0354,-0.3053,3.1145,-2.8626,1.052
8.153,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0247,-0.2473,-0.0400,-2.5038,2.6794,-3.1985,1.055
8.159,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0234,-0.2456,-0.0332,-4.6183,2.9466,-2.5878,1.053
8.165,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0168,-0.2336,-0.0512,-5.4809,3.1603,-2.2061,1.045
8.171,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0022,-0.2251,-0.0522,-6.7939,3.3817,-1.5954,1.028
8.177,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0044,-0.2334,-0.0629,-8.2595,3.4962,-0.9008,1.033
8.183,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0095,-0.2344,-0.0666,-8.9618,4.9008,0.9771,1.039
8.189,28.79,41.31,999.92,0.000000,0.000000,0.00,0,0,1.0125,-0.2227,-0.0659,-9.5191,5.8626,2.3435,1.039
8.311,28.78,41.31,999.92,0.000000,0.000000,0.00,0,0,0.9414,-0.2861,-0.1277,-10.7405,3.6260,4.1374,0.992
8.316,28.78,41.31,999.91,0.000000,0.000000,0.00,0,0,0.9534,-0.2932,-0.1257,-10.5649,3.7099,3.7939,1.005
8.322,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9553,-0.2981,-0.1311,-10.0840,3.6412,3.3969,1.009
8.328,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9580,-0.2939,-0.1287,-9.3893,3.6489,2.7557,1.010
8.334,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9617,-0.3044,-0.1453,-9.3359,3.9160,2.7328,1.019
8.340,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9709,-0.2974,-0.1299,-8.3282,3.3817,3.0229,1.024
8.346,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9790,-0.2817,-0.1255,-6.8321,3.8168,2.7939,1.026
8.352,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9773,-0.2922,-0.1313,-5.0840,3.7710,2.7328,1.028
8.358,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9846,-0.2822,-0.1218,-3.9695,4.2519,2.5496,1.031
8.364,28.79,41.32,999.93,0.000000,0.000000,0.00,0,0,0.9771,-0.2942,-0.1270,-4.9771,4.7099,2.2366,1.028
8.507,28.76,41.32,999.88,0.000000,0.000000,0.00,0,0,0.9563,-0.3484,-0.1265,1.0382,-2.1832,-2.1603,1.026
8.582,28.80,41.32,999.94,0.000000,0.000000,0.00,0,0,0.9622,-0.3438,-0.1230,1.8855,-2.4046,-2.4504,1.029
8.588,28.80,41.32,999.94,0.000000,0.000000,0.00,0,0,0.9666,-0.3401,-0.1338,2.8397,-2.6336,-2.3740,1.033
8.594,28.80,41.32,999.94,0.000000,0.000000,0.00,0,0,0.9785,-0.3381,-0.1382,3.6718,-2.5267,-2.4275,1.044
8.600,28.80,41.32,999.94,0.000000,0.000000,0.00,0,0,0.9746,-0.3330,-0.1311,4.7786,-2.5954,-2.6947,1.038
8.606,28.80,41.32,999.94,0.000000,0.000000,0.00,0,0,0.9858,-0.3337,-0.1333,5.5649,-2.5878,-2.7405,1.049
8.612,28.80,41.36,999.97,0.000000,0.000000,0.00,0,0,0.9890,-0.3203,-0.1328,5.9695,-2.4046,-2.6870,1.048
8.618,28.80,41.36,999.97,0.000000,0.000000,0.00,0,0,0.9893,-0.3162,-0.1287,5.8473,-2.1756,-2.8397,1.046
8.624,28.80,41.36,999.97,0.000000,0.000000,0.00,0,0,0.9846,-0.3098,-0.1199,5.6947,-2.0076,-2.6794,1.039
8.630,28.80,41.36,999.97,0.000000,0.000000,0.00,0,0,0.9832,-0.3030,-0.1177,5.6641,-1.3588,-2.9847,1.035
